"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"JUG","JUGOS","JUBOI1","Boing 1lt","566","8269.3922","0","8269.3922","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHSAV6","SHAMPOO SAVILE 750 ml","263","8220.459","0","8220.459","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERN5","Frijol Sierra REFRI NEGRO  580gr","556","8102.6002","0","8102.6002","","","",""
"ATUN","ATUNES                                            ","ATNAI","Atun NAIR 140 gr","729","8068.5278","0","8068.5278","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDKM","Nido KINDER  800g MED","65","8061.0796","0","8061.0796","","","",""
"SALC","SALCHICHAS                                        ","SACHE","Salchicha Chero 3kg","105","7847.5","0","7847.5","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALMAXB","Alimento Maxi BOBI kg","459.47","7814.01","0","7814.01","","","",""
"JAPAS","JABONES PASTA","JPZOTB","Zote BLANCO 400g","519","7761.7","0","7761.7","","","",""
"VELADORAS","VELADORAS","VEECOESGI","Ecol ESMERALDA #2","111","7704.9522","0","7704.9522","","","",""
"PAP","PAPILLA                                           ","PAGER","Gerber 100g","770","7652.9944","0","7652.9944","","","",""
"VELADORAS","VELADORAS","VELIBPR","Libra PROFINA imperial  flores","408","7646.2","0","7646.2","","","",""
"ENLATADO","ENLATADOS                                         ","COCLE8","Coctel CLEMENTE 850g","178","7641.898","0","7641.898","","","",""
"VELADORAS","VELADORAS","VECIRP1","CIRIO  PROFINA C/1","298","7638.6395","0","7638.6395","","","",""
"MANT","MANTEQUILLAS                                      ","MAIBEG","Iberia GD 225g","367","7607.3441","0","7607.3441","","","",""
"VIN","VINOS                                             ","VITOR10","Torres 10 700ml","29","7567.9992","0","7567.9992","","","",""
"VELADORAS","VELADORAS","VEBIG3","VELA BIG 30 PZ","153","7529.7","0","7529.7","","","",""
"MAY","MAYONESAS                                         ","MAMAC4","Mayonesa McCormick  4 105g","695","7526.5332","0","7526.5332","","","",""
"TOALLA","toallas","TONATN","Naturella NOCHE 8pz","413","7525.9892","0","7525.9892","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRLAL5","CREMA Lala  400ml","308","7479.1408","0","7479.1408","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHHED1","Head & Shoulders 1000ml","61","7421","0","7421","","","",""
"SUA","SUAVISANTES","SUSUA1","Suavitel 1lt","293","7401.1948","0","7401.1948","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTPALN16","Palmolive NEUTRO 160g","483","7315.1248","0","7315.1248","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJ5","Rajas COSTEÑA 380g","420","7306.6032","0","7306.6032","","","",""
"GALLETAS","GALLETAS","GASURB","Surtido BRINDIS 720gr","151","7297.7984","0","7297.7984","","","",""
"SALS","SALSAS                                            ","SABBQZ","Salsa BBQ Zafran 4kg","42","7275.4","0","7275.4","","","",""
"SEM","SEMILLAS                                          ","SEFLOM","Flor de MAYO","229.7","7271.4","0","7271.4","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIPINT1","Pinol AROMAS 828ml","387","7256.084","0","7256.084","","","",""
"VINA","VINAGRES                                          ","VIBARB4","Vinagre BARRILITO BLAC 4lt","215","7240.5","0","7240.5","","","",""
"VELADORAS","VELADORAS","VEECO2P","Ecol ECOCHIK PROFINA","1058","7175.6544","0","7175.6544","","","",""
"SER","SERVILLETAS                                       ","SEPRU5","Servilleta PRUEBA 500H","268","7101.504","0","7101.504","","","",""
"CAFES","CAFES","CACOF4","Coffee Mate 400gr","143","7097.2598","0","7097.2598","","","",""
"LEV","LEVADURAS                                         ","LENEV","Levadura NEVADA 450g","147","7079.39","0","7079.39","","","",""
"PASTA","PASTAS                                            ","PACOL1","Colgate 100ml","245","7078.5996","0","7078.5996","","","",""
"ENCENDEDOR","ENCENDEDORES                                      ","ENTOK","Encendedor Tokay","1395","6998","0","6998","","","",""
"CALDO","CALDOS                                            ","CANORTOE","Knorr TOMATE ESTUCHE 22g","2227","6962.57912","0","6962.57912","","","",""
"TOALLA","toallas","TOSABINV","Saba INVISIBLE C/10pz","425","6960.0012","0","6960.0012","","","",""
"VELADORAS","VELADORAS","VELEO","LEO  PROFINA DECORADO","439","6914.2","0","6914.2","","","",""
"CIGARRO","CIGARROS                                          ","CILINB","Cigarro LINK Blanco 20c","336","6893","0","6893","","","",""
"RAS","RASTRILLOS                                        ","RAPRE","Rastrillo Prestobarba 2 hojas pz","473","6851.8752","0","6851.8752","","","",""
"SARDINA","SARDINAS                                          ","SACAL","Sardina Calmex 425 gr","215","6839.7484","0","6839.7484","","","",""
"VELADORAS","VELADORAS","VECIRP","Cirio Paraiso GRANDE","591","6807","0","6807","","","",""
"CALDO","CALDOS                                            ","CANORB2","Knorr suiza BOLSA  180gr","300","6797","0","6797","","","",""
"VELADORAS","VELADORAS","VELIMCE","Limonero INOVELA","568","6774.5","0","6774.5","","","",""
"CIGARRO","CIGARROS                                          ","CIBEN","Benson DORADO 20c","107","6760","0","6760","","","",""
"CIGARRO","CIGARROS                                          ","CIPALLD","Pall Mall TOKIO Doble Capsula 20c","124","6738.6","0","6738.6","","","",""
"DET","DETERGENTES ROPA","DEBRI5","Briloza 500gr","481","6731.65","0","6731.65","","","",""
"AGUAS","AGUAS                                             ","AGBON15","Agua Bonafon 1.5 lt","743","6689.3296","0","6689.3296","","","",""
"YOG","YOGHURT                                           ","YODAN","Danonino Cuadreta 4/42gr","499.25","6662.0604","0","6662.0604","","","",""
"DET","DETERGENTES ROPA","DEESP5","Espumil ROSA  500g","472","6630","0","6630","","","",""
"CIGARRO","CIGARROS                                          ","CISOBV","Soberano Verde 20c","332","6628","0","6628","","","",""
"JUG","JUGOS","JUMAG8","JUGO MAGGI  800 ML","38","6620","0","6620","","","",""
"SEM","SEMILLAS                                          ","SEGIR","SEMILLA DE GIRASOL","229.078","6609.07","0","6609.07","","","",""
"PASTA","PASTAS                                            ","PACOL15","Colgate 150ml","183","6592.88","0","6592.88","","","",""
"DET","DETERGENTES ROPA","DEROM10","Roma 10kg","23","6579","0","6579","","","",""
"CIGARRO","CIGARROS                                          ","CIMAL14","Marlboro ROJO 14","141","6578.34","0","6578.34","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIFLA","Flamingo 4r","600","6573.6936","0","6573.6936","","","",""
"SALS","SALSAS                                            ","SABBQ6","Salsa BBQ  ORIGINAL 630g","182","6572.7508","0","6572.7508","","","",""
"VELADORAS","VELADORAS","VELIMCI","Limoncito INMACULADA","829","6571.6176","0","6571.6176","","","",""
"CHIENLA","CHILES ENLATADOS","CHCHICL3","Chipotle 2.8kg CLEMENTE","44","6545.34","0","6545.34","","","",""
"PAÑ","PAÑALES                                           ","PAABSM4","Absorsec MED c/40pz","70","6496.8","0","6496.8","","","",""
"LEC","LECHES                                            ","LEMED","Media Crema 225g lata","480","6442.1172","0","6442.1172","","","",""
"SALC","SALCHICHAS                                        ","SAFUDS","Salc. Fud Viena SENCILLA 266g","378","6386.245","0","6386.245","","","",""
"DET","DETERGENTES ROPA","DEBRI1","Briloza 1kg","219","6383.95","0","6383.95","","","",""
"SYS","LINEA GENERAL","TAZA","Taza NESCAFE pza","347","6372","0","6372","","","",""
"SALS","SALSAS                                            ","SAVAL1","Valentina 1lt","301","6364.9448","0","6364.9448","","","",""
"PIÑ","PIÑAS                                             ","PICLE8","Piña  Clemente REBANADAS 800g","158","6362.7016","0","6362.7016","","","",""
"ESPECIE","ESPECIES                                          ","ESCACL","Cacahuate LIMPIO KG","142.1","6349.22","0","6349.22","","","",""
"VELADORAS","VELADORAS","VECOLCH","COLORAMA CHICA","337","6345.289","0","6345.289","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALPOL","Alimento p/POLLO KG","777.035","6323.3225","0","6323.3225","","","",""
"DET","DETERGENTES ROPA","DEAUDB1","Detergente Audaz BLANCO 10kg","33","6305","0","6305","","","",""
"VIN","VINOS                                             ","VIRES1","RESERVA DEL VIEJO  750ml","145","6280.5784","0","6280.5784","","","",""
"CEREAL","CEREALES                                          ","CEZUC9","Zucaritas  710","107","6254.81","0","6254.81","","","",""
"JAPAS","JABONES PASTA","JPDAR","Daroma 400gr","450","6209.5","0","6209.5","","","",""
"LEC","LECHES                                            ","LELALP","Lala Entera roja 1lt","336","6157.205","0","6157.205","","","",""
"DET","DETERGENTES ROPA","DEFOC5","Foca  500gr","388","6097.25","0","6097.25","","","",""
"GALLETAS","GALLETAS","GAMARIMO","Marianitas NUEZ Moderna 20/185gr","38","6081.3","0","6081.3","","","",""
"VELADORAS","VELADORAS","VECOPN","COPA NIZA","327","6077.16","0","6077.16","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN1G","Nan 1 GD 720 gr","24","6075.98","0","6075.98","","","",""
"VELADORAS","VELADORAS","VECAFSP","CAFETERO SURTIDO PROFINA","392","6038.2","0","6038.2","","","",""
"JAPAS","JABONES PASTA","JPESPB","Espumil PASTA 350g","496","5946.2","0","5946.2","","","",""
"VELADORAS","VELADORAS","VECAFDP","CAFETERO DIAMANTE PROFINA","403","5911.8","0","5911.8","","","",""
"VIN","VINOS                                             ","TEORGA","Tequila Orgullo AZUL 960ml","132","5896.0032","0","5896.0032","","","",""
"INSE","INSECTIDAS                                        ","INRAYMB4","Raid MATA BICHOS 400ml","105","5891.6712","0","5891.6712","","","",""
"SALS","SALSAS                                            ","SAING9","SALSA INGLESA 980 GR","45","5868.9","0","5868.9","","","",""
"VELADORAS","VELADORAS","VECOPNOB","COPA NORMANDIA ROJA","281","5867.75","0","5867.75","","","",""
"DET","DETERGENTES ROPA","DEACE1","Ace 900g","210","5863.95","0","5863.95","","","",""
"VELADORAS","VELADORAS","VECOLI","Coliseo pza","252","5851.9","0","5851.9","","","",""
"JAPAS","JABONES PASTA","JPCAR","Jabon PASTA Carisma 400g","384","5840.9","0","5840.9","","","",""
"ACEITES","ACEITES                                           ","AC1235","Aceite 123 500ml","414","5822.52","0","5822.52","","","",""
"FARMACIA","FARMACIA                                          ","SUELE","Suero ELECTROLITO 625ml","345","5809.2928","0","5809.2928","","","",""
"VELADORAS","VELADORAS","VEARI","Aries Surtido Profina pza","339","5789.4","0","5789.4","","","",""
"PAÑ","PAÑALES                                           ","PASUAG4","Suavelastic GD 40pz","39","5741.8","0","5741.8","","","",""
"PIÑ","PIÑAS                                             ","PICLE3","Piña  Clemente TROZOS 3kg","41","5716.1","0","5716.1","","","",""
"YOG","YOGHURT                                           ","YOGRA","Gran dia pza","668","5707.674","0","5707.674","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHHED4","Head & Shoulders  375ml","100","5704.0804","0","5704.0804","","","",""
"VELADORAS","VELADORAS","VENORI","NORTEÑO INMACULADA DECORADO","433","5685.5","0","5685.5","","","",""
"JUG","JUGOS","JUMAG100","JUGO MAGGI  100ML","178","5668.4312","0","5668.4312","","","",""
"AGUAS","AGUAS                                             ","AGBON1","Agua Bonafon  1lt","775","5650.5","0","5650.5","","","",""
"FARMACIA","FARMACIA                                          ","FAALC1","Alcohol 1lt","75","5621","0","5621","","","",""
"SAL","SALES                                             ","SAFLA","Sal FORTE/ SOL/ ECON 1kg","604","5600","0","5600","","","",""
"VELADORAS","VELADORAS","VETAZF","Taza FIJI COLORES","259","5577.0924","0","5577.0924","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALPEDC","Pedigree CACHORRO kg","141.095","5571.5505","0","5571.5505","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIPRE","HIGIENICO PREMIER","258","5531.535","0","5531.535","","","",""
"PAÑ","PAÑALES                                           ","PABEBJ4","Bebin JUM 40pz","48","5499.58","0","5499.58","","","",""
"ATUN","ATUNES                                            ","ATDOLAG","Atun Dolores GD AGUA 295 gr","159","5493.42","0","5493.42","","","",""
"VELADORAS","VELADORAS","VECERP1","Cera #1 PROFINA","109","5439.1","0","5439.1","","","",""
"GALLETAS","GALLETAS","GATOS","Tostacrem de rollo 20pzs","40","5436","0","5436","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPAN1","Pantene 1litro","44","5419","0","5419","","","",""
"AGUAS","AGUAS                                             ","AGBON5","Agua Bonafon   600 ml","1092","5416.238","0","5416.238","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALAZT5","Aluminio Azteca  50 240gr","95","5411.76","0","5411.76","","","",""
"VELADORAS","VELADORAS","VETAZAI","TAZA AZUL INMACULADA","292","5410.8096","0","5410.8096","","","",""
"FARMACIA","FARMACIA                                          ","FASAL","Saldeuvas pz","1870","5318.9","0","5318.9","","","",""
"ALIMENTOS","ALIMENTOS                                         ","SEMAIQ","Maiz QUEBRADO kg","811.46","5289.225","0","5289.225","","","",""
"LEC","LECHES                                            ","LEVAL","LECHE VALLE AZUL 950ml","535","5284.692","0","5284.692","","","",""
"FRU","FRUTAS SECAS                                      ","FRUVA","UVA Pasa KG","104.228","5268.056","0","5268.056","","","",""
"CLORO","CLOROS                                            ","CLGOL5","Golondrina 500ml","1167","5236.27328","0","5236.27328","","","",""
"REF","REFRESCOS                                         ","REMON","Monster 473ml GD","177","5218.34","0","5218.34","","","",""
"CHOCOLATE","CHOCOLATES","CHDIN","Chocolate DINASTIA 6/90g","130","5200","0","5200","","","",""
"DET","DETERGENTES ROPA","DEFOC1","Foca 1kg","163","5181.65","0","5181.65","","","",""
"VELADORAS","VELADORAS","VEECOCI","Ecol Caramelo INMACULADA pz","154","5086.7","0","5086.7","","","",""
"CIGARRO","CIGARROS                                          ","CIMONCH","Montana Shots 15","138","5071.998","0","5071.998","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALPEDA","Pedigree  ADULTO kg","136.493","5019.7777","0","5019.7777","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIVOG8","Higienico Vogue 4/800h NUEVO","135","5003.8992","0","5003.8992","","","",""
"VIN","VINOS                                             ","VITON1","Tonayan 1lt","189","4956.7986","0","4956.7986","","","",""
"SUA","SUAVISANTES","SUSUA8","Suavitel  850ml","262","4936.46","0","4936.46","","","",""
"CAFES","CAFES","CALEG2","Legal 200gr","142","4934.1008","0","4934.1008","","","",""
"JUG","JUGOS","JUVIVB","Vive 100 300 ml  VERDE","511","4886.708","0","4886.708","","","",""
"FARMACIA","FARMACIA                                          ","FAALK","Alkazeltser PZ","2305","4871.55","0","4871.55","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIFAB5","Fabuloso 500ml","427","4869.4552","0","4869.4552","","","",""
"VELADORAS","VELADORAS","VECAFDI","CAFETERO DEC.  INMACULADA","317","4854.7","0","4854.7","","","",""
"VELADORAS","VELADORAS","VECHAA","CHARRO AZUL pza","305","4841.525","0","4841.525","","","",""
"CIGARRO","CIGARROS                                          ","CIMON","MONTANA Lucky Original 20pz","90","4824","0","4824","","","",""
"HARINA","HARINAS                                           ","HAMAISU","Fecula de maiz MAIZENA Suelta 1KG","325.9","4810.6","0","4810.6","","","",""
"VELADORAS","VELADORAS","VEVIR","VIRGO DECORADO pz","342","4767.5","0","4767.5","","","",""
"VELADORAS","VELADORAS","VETAZCI","TAZA CRISTALINA INMACULADA","265","4767.112","0","4767.112","","","",""
"MOL","MOLES                                             ","MODOÑ","Mole DOÑA MARIA 235g","155","4764.5412","0","4764.5412","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPAL7","Shampoo Palmolive 1000ml","53","4745","0","4745","","","",""
"VELADORAS","VELADORAS","VECOPB","Copa BALI pza","203","4650.1056","0","4650.1056","","","",""
"RAS","RASTRILLOS                                        ","RAPRE3","Rastrillo Prestobarba 3 hojas pz","271","4625.2","0","4625.2","","","",""
"VIN","VINOS                                             ","VIREL","VINO RELICARIO","101","4624.8016","0","4624.8016","","","",""
"VELADORAS","VELADORAS","VECAFLI","CAFETERO LISO INMACULADA","324","4620.2","0","4620.2","","","",""
"SEM","SEMILLAS                                          ","SEHABL","Haba limpia kg","75.52","4612.69","0","4612.69","","","",""
"PIÑ","PIÑAS                                             ","PIMEMR3","Piña REBANADA Members 3kg","32","4606","0","4606","","","",""
"DET","DETERGENTES ROPA","DEESP1","Espumil ROSA 1kg","157","4569.25","0","4569.25","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHCAP8","SHAMPOO Caprice 750ml","139","4557.8372","0","4557.8372","","","",""
"CHOCOLATE","CHOCOLATES","CHABUGCT","Abuelita GD 7/90g +TAZA","57","4540.3","0","4540.3","","","",""
"VELADORAS","VELADORAS","VESAT","Velas Saturno 16pz","96","4530.4988","0","4530.4988","","","",""
"GALLETAS","GALLETAS","GAMARG8","Marias GAPSA 800gr","136","4523.5","0","4523.5","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTDOV135","Dove 135g","243","4520","0","4520","","","",""
"DESODORANTE","DESODORANTES","DEAXEA","DES. AXE AEROSOL 113gr","104","4516.9012","0","4516.9012","","","",""
"CALDO","CALDOS                                            ","CACON","Consomate ESTUCHE 2/11g","1248","4514.859192","0","4514.859192","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERB","Frijol Sierra REFRI BAYO 440gr","392","4487.622","0","4487.622","","","",""
"TE","TE´S                                              ","TEMACM5","TE MCCORMICK MANZANILLA C/50","127","4471.4","0","4471.4","","","",""
"CAFES","CAFES","CALEGS2","Legal SOLUBLE 180g Frasco +20g","86","4468.825","0","4468.825","","","",""
"FARMACIA","FARMACIA                                          ","FAASPE","Aspirina EFERVECENTE pza","1579","4461.756","0","4461.756","","","",""
"CHOCOLATE","CHOCOLATES","CHCHOS","Choco Milk SOBRE 20gr","1192","4460.95","0","4460.95","","","",""
"SEM","SEMILLAS                                          ","SEALB","Alberjon KG","270.15","4460.875","0","4460.875","","","",""
"HARINA","HARINAS                                           ","HAHOTGA1","Harina Hot Cakes GAMESA 850g","146","4454.2","0","4454.2","","","",""
"ENCENDEDOR","ENCENDEDORES                                      ","ENMK","Encendedor MK classic","957","4452.6","0","4452.6","","","",""
"VIN","VINOS                                             ","CEVICM","Victoria lata 473ml","273","4417.48","0","4417.48","","","",""
"FARMACIA","FARMACIA                                          ","FAFLA","Flanax 550mg pza","279","4386.14","0","4386.14","","","",""
"CEREAL","CEREALES                                          ","CECORG","Corn Flakes GOLDEN KG","112.905","4376.7595","0","4376.7595","","","",""
"SER","SERVILLETAS                                       ","SEVOG125","Serviletas Vogue 100s","544","4366.8304","0","4366.8304","","","",""
"DET","DETERGENTES ROPA","DEMAE1","Maestro Limpio 1kg","188","4317.2972","0","4317.2972","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENUTPB","NUTRI POLVO BOLSA 120 GR","306","4311","0","4311","","","",""
"CIGARRO","CIGARROS                                          ","CICAM","Camel c/20cig","72","4291.9","0","4291.9","","","",""
"ACEITES","ACEITES                                           ","ACOLIVP7","Aceite Olivo PURO 750ml","67","4288.9","0","4288.9","","","",""
"FARMACIA","FARMACIA                                          ","FAALC2","Alcohol  250ml","214","4257.3004","0","4257.3004","","","",""
"OTROS","OTROS                                             ","PRSUE","PRODUCTO VARIOS","2596.96","4248.9","0","4248.9","","","",""
"PASTA","PASTAS                                            ","PACOL7","Colgate  75ml","278","4240.296","0","4240.296","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALMET400","Metafoil 400 reforzado","26","4206","0","4206","","","",""
"CIGARRO","CIGARROS                                          ","CIMONSH24","Montana Shots 24c","78","4201.66","0","4201.66","","","",""
"MER","MERMELADA                                         ","MECLECH","Mermelada  270g  fresa  CLEMENTE","251","4194.7112","0","4194.7112","","","",""
"PAÑ","PAÑALES                                           ","PABEBG4","Bebin GD 40pz","41","4193.7","0","4193.7","","","",""
"JUG","JUGOS","JUCLA2","CLAMATO 1.8 lt","86","4183.4","0","4183.4","","","",""
"ACEITES","ACEITES                                           ","ACOLIEV1","Aceite Olivo 1lt         Extra Virgen Maxima","27","4182","0","4182","","","",""
"HARINA","HARINAS                                           ","HAHOTT","Harina Hot Cakes 3 Estrellas 1kg","136","4115.6","0","4115.6","","","",""
"ACEITES","ACEITES                                           ","ACSAB","aceite SABROSANO 850 ml","164","4099.5584","0","4099.5584","","","",""
"SOP","SOPAS                                             ","SOMARC","Maruchan CAMARON pza","447","4091.9036","0","4091.9036","","","",""
"AVEN","AVENAS                                            ","AVSUE","Avena SUELTA KG","196.68","4082.23","0","4082.23","","","",""
"DET","DETERGENTES ROPA","DEBLA10","Blanca Nieves 10kg","14","4058.6","0","4058.6","","","",""
"VELADORAS","VELADORAS","VEECOMSC","Ecol media semana CIELO","291","4053.4","0","4053.4","","","",""
"ACEITES","ACEITES                                           ","ACNUT2","Aceite Nutrioli 400ml","257","4051.5","0","4051.5","","","",""
"FRU","FRUTAS SECAS                                      ","FRNUE","Nuez KG","17.86","4044.56","0","4044.56","","","",""
"JUG","JUGOS","JUAMP","Amper 473ml","312","4029.63","0","4029.63","","","",""
"PASTA","PASTAS                                            ","PACOL5","Colgate  50ml","269","4009.934","0","4009.934","","","",""
"GALLETAS","GALLETAS","GAMARIMOC","Marianitas COCO Moderna 20/185g","25","3997.5","0","3997.5","","","",""
"VELADORAS","VELADORAS","VENORLI","NORTEÑO LISO INMACULADA","336","3997.5","0","3997.5","","","",""
"CHOCOLATE","CHOCOLATES","CHCHO4","Choco Choco BOLSA 350gr","144","3983.652","0","3983.652","","","",""
"SEM","SEMILLAS                                          ","ESTEQ","Tequesquite","599.64","3980.7","0","3980.7","","","",""
"FARMACIA","FARMACIA                                          ","FAALC5","Alcohol  500ml","113","3932.88","0","3932.88","","","",""
"QUE","QUESOS                                            ","QUMOLC","Queso Molido la Chinita","194","3913","0","3913","","","",""
"VELADORAS","VELADORAS","VECAM","Campana LUX ETERNA","186","3860.1","0","3860.1","","","",""
"SALS","SALSAS                                            ","SAVAL4","Valentina 4lt Garrafon","51","3842","0","3842","","","",""
"MAY","MAYONESAS                                         ","MAMACIG","Mayonesa McCormick Galoncito 2.8kg","23","3841","0","3841","","","",""
"HARINA","HARINAS                                           ","HAHOKS","Harina HOT CAKES San Blas 900g","164","3837","0","3837","","","",""
"FARMACIA","FARMACIA                                          ","FATAP5","Tabcin 500 C/60","26","3836.3","0","3836.3","","","",""
"GALLETAS","GALLETAS","GATOS1","Tostacrem 1kg","79","3825.7","0","3825.7","","","",""
"VELADORAS","VELADORAS","VEECOSCA","ECOL.  SEMANARIA CARMINA","173","3808.9458","0","3808.9458","","","",""
"VELADORAS","VELADORAS","VELIBF","Libra PROFINA FILO ORO","139","3797.2","0","3797.2","","","",""
"CAFES","CAFES","CANESDE17","Nescafe DESCAFEINADO 170gr","47","3773.4","0","3773.4","","","",""
"CERILLO","CERILLOS                                          ","CEFLAG","CERILLOS FLAMA  GRANDE 115c","816","3771.1","0","3771.1","","","",""
"ACEITES","ACEITES                                           ","ACMARG","Maravilla Galon 3.78l","38","3761","0","3761","","","",""
"ENLATADO","ENLATADOS                                         ","PUCOSC1","Pure Costeña CJA 1000g","168","3739.2","0","3739.2","","","",""
"DET","DETERGENTES ROPA","DESALL5","Salvo LIQUIDO  300ml","287","3724.4007999998","0","3724.4007999998","","","",""
"REF","REFRESCOS                                         ","RECOC2","Coca Cola 2 lt","143","3717.95","0","3717.95","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJ1","Rajas COSTEÑA 800g","138","3697.7502","0","3697.7502","","","",""
"LEC","LECHES                                            ","LELECCH","Lecherita 100gr","396","3695.8158","0","3695.8158","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIPIN5","Pinol 500ml","303","3691.7","0","3691.7","","","",""
"DET","DETERGENTES ROPA","DESAL5","Salvo 500gr","200","3673.16","0","3673.16","","","",""
"GALLETAS","GALLETAS","GAARC","GALLETA Arcoiris 16/75g","23","3658","0","3658","","","",""
"CIGARRO","CIGARROS                                          ","CIBENV","Benson VERDE 20c","59","3642","0","3642","","","",""
"CALDO","CALDOS                                            ","SAMIAR","Saz. Mi Arroz ROJO 12g","739","3640.81","0","3640.81","","","",""
"DES","DESECHABLES                                       ","VAUNI8","Vasos Unicel # 8 c/25v","525","3635.4","0","3635.4","","","",""
"FOC","FOCOS                                             ","FOULT","Foco Economico ALEFCO 40w pz","505","3620","0","3620","","","",""
"DES","DESECHABLES                                       ","TOHID18","Tostadas Hidalguense Natural 275g","274","3618.7969","0","3618.7969","","","",""
"CERILLO","CERILLOS                                          ","CECLA","Cerillo CLASICOS pz","2611","3613.42","0","3613.42","","","",""
"REF","REFRESCOS                                         ","REJAR2","Jarrito 2 LT","215","3606.58","0","3606.58","","","",""
"SEM","SEMILLAS                                          ","SEARRI","ARROZ ITALRISO","130","3585","0","3585","","","",""
"MAY","MAYONESAS                                         ","MAMACIV","Mayonesa McVIDRIO Institucional 3.4kg","19","3572.4","0","3572.4","","","",""
"FARMACIA","FARMACIA                                          ","SUPED5","Suero Pedialyte 500ml","188","3569.7798","0","3569.7798","","","",""
"DET","DETERGENTES ROPA","DEBLA2","Blanca Nieves   250gr","476","3539.4","0","3539.4","","","",""
"ESPECIE","ESPECIES                                          ","SOMEAMS","Somerio GRIS KG","39.395","3503.5","0","3503.5","","","",""
"SALS","SALSAS                                            ","SACATCL3","Catsup CLEMENTE 340gr","270","3496.7484","0","3496.7484","","","",""
"HIGIENICO","HIGIENICOS                                        ","HITEN3","TENDER 300 hojas","186","3472.8696","0","3472.8696","","","",""
"SOP","SOPAS                                             ","SOMARP","Maruchan POLLO pza","379","3470.28672","0","3470.28672","","","",""
"YOG","YOGHURT                                           ","YOACT","Yoghurt Activia pza","383","3458.5896","0","3458.5896","","","",""
"VELADORAS","VELADORAS","VEECODII6","Ecol Diamante #6 INMACULADA","45","3458.3938","0","3458.3938","","","",""
"DET","DETERGENTES ROPA","DEAXIL9","Axion LIQUIDO 900ml","116","3440.6004","0","3440.6004","","","",""
"GALLETAS","GALLETAS","GAMARGA8","Marias GAMESA 850g","71","3415.5","0","3415.5","","","",""
"SEM","SEMILLAS                                          ","SEQUE","Negro Queretaro","158.8","3412.9","0","3412.9","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTESC16","Escudo 160g","281","3408.0052","0","3408.0052","","","",""
"MAN","MANTECAS                                          ","MAINC","Manteca INCA kg","79","3398.26","0","3398.26","","","",""
"CHIENLA","CHILES ENLATADOS","CHJALCL3","Jalapeños 3kg CLEMENTE","65","3388.7","0","3388.7","","","",""
"JAM","JAMON                                             ","JAFUD1","Jamon Fud AMERICANO KG","47","3384","0","3384","","","",""
"ENLATADO","ENLATADOS                                         ","MACOS","MANGOS COSTEÑA","92","3374.1812","0","3374.1812","","","",""
"SALC","SALCHICHAS                                        ","SAANY","Salchicha ANY Pavo 2.6kg","41","3362","0","3362","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJ8","Rajas COSTEÑA 105gr","560","3358.774","0","3358.774","","","",""
"VELADORAS","VELADORAS","VECRU","Vaso CRUZ INMACULADA pz","405","3349.8","0","3349.8","","","",""
"ACEITES","ACEITES                                           ","ACCAN","ACEITE CANOIL","118","3331.9008","0","3331.9008","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALDOGA","Alimento Dog Chow ADULTO","87.495","3319.205","0","3319.205","","","",""
"ESPECIE","ESPECIES                                          ","ESCANP","Canela ROLLO 1kg","8","3305","0","3305","","","",""
"VELADORAS","VELADORAS","VEROSA","Rosita AZUL La FAMA pz","240","3290.9","0","3290.9","","","",""
"DES","DESECHABLES                                       ","VAUNI10","Vasos Unicel #10 c/25v","385","3281.4","0","3281.4","","","",""
"ACEITES","ACEITES                                           ","ACKAR1","Aceite Kartamus 1lt","133","3274.256","0","3274.256","","","",""
